text,label
"за такие деньги, качество отвратное",Низкое качество продукции
"Забирала самовывозом,что не понравилось четко обозначила время с 17.50 до 18.00 к определенному мероприятию. Заказывала в районе 15 часов дня,как итог приехала - ещё не готово ,отдали только в 18.10 извинений 0. В итоге если будете забирать самовывозом учтите вовремя не отдают, поэтому закладывайте время на ожидание . Иначе как я сильно расстроилась,обозначать время сильно заранее и сидеть ждать как собака у входа отвратительное ощущение.",Задержка
"забыли одну бутылку котлы положить, а по чеку провели... да и сам поздно спохватился",Не довезли
"Забыли передать пиццу, обращались в техподдержку.Пицца ужасная, еще и холодной довезли позже. Роллы не вкусные, рыбы мало и не лучшего качества. Нарезка не одинаковая. Горячие роллы были холодные. Указывали сдачу в заказе с суммы, курьер был удивлен, сумма незначительная,но все же. Впечатления отрицательные","Не довезли, Холодные блюда, Невкусно, Мало начинки, Низкое качество продукции, Не сдали сдачу"
"Забыли положить в заказ все хинкали. 
Упаковка бифштекса плохая.",Не довезли
забыли положить второй имбирь,Не довезли
"забыли положить морс, не за баллы, спасибо",Не довезли
забыли положить пиццу в подарок,Не довезли
"Задержали доставку больше чем на час, не согласовали этот момент 
Паста пришла слипшаяся и холодная, вилка об нее сломалась :( 
вопрос урегулировали, надеюсь, такого больше не повторится","Задержка, Холодные блюда"
"Задержали заказ на 30 минут, пицца приехала уже остывшей, впечатления плохие, в заказ даже не положили салфетки, недоволен","Задержка, Холодные блюда, Неполная комплектация"
"Заказ был принят в работу через 29 минут и плюс ждали более 2 часов ! Рис переваренный, слипшийся. Васаби не острый. Пицца остыла. В этот раз мы разочаровались, до этого такого не было.","Задержка, Переварено, Слипшееся, Не остро, Холодные блюда"
"Заказ был сделан 18:39. Доставлен в 20:20.
Сделано неаккуратно и все разного размера.",Задержка
"заказ был сделан в 21:45 доставили в 1:30 всё холодное и не доложили соус,то есть его не было совсем,его просто не положили.крылья не дожарили.вообщем очень разочаровалась😔","Задержка, Холодные блюда,  Не довезли, Недоварено"
"заказ везли 2 с половиной часа,когда позвонила узнать насчёт заказа,сказали что он был в спаме и они его не увидели,ни извинений ни какой либо компенсации за это не предложили отношение к людям отвратительное и неуважительное","Задержка, Долгая обработка"
"Заказ доставили как и обещали чуть раньше,но пицца была холодная ,прям холодная.... запечённые роллы были холодные ! На вкус это влияет ,за быструю доставку 5+",Холодные блюда
"Заказ доставляли 2 часа, забыли положить один том ям, но, потом довезли быстро, за что им спасибо.
Ранее заказывала через Деливери и порции ролл были прям большие, сейчас же приехало все маленькое, визуально не красивое… Все таки, наверное, зависит от повара все.","Задержка, Не довезли, Маленькие порции "
"Заказ доставляли более двух часов, не было имбиря и васаби
Раньше клали салфетки, сейчас и их не кладут 
Роллы неплохие","Задержка, Неполная комплектация"
"заказ доставлялся более 100 минут, заказанные приборы не положили, вместо сацебели привезли ткемали, мясо обугленное","Задержка, Неполная комплектация, Не то привезли, Горелое"
"Заказ ехал 2 часа, суши помятые, что бы дозвониться до оператора надо час, полный игнор. Больше не буду заказывать суши итд в Тауне просто отвратительно!!!!!","Задержка, Мятое, Низкое качество обслуживания"
"Заказ ехал больше двух с половиной часов. Курьер приехал бухой. В поддержке сказали, что это сотрудник ресторана. Администрация так и не связалась для выяснения обстоятельств. Сами по себе роллы недорогие, и вкус оказался соответствующий, тут претензий никаких. Комплектация полная.","Задержка, Низкое качество обслуживания"
"Заказ ехал очень долго, по приезду роллы развалились, вог протек, и естественно все было холодное","Долгая доставка, Холодные блюда, Разваливается, Плохая транспортировка"
"Заказ ехал очень долго. Прям очень очень. Курьер не мог позвонить на телефон. А у нас был отключен домофон, мы об этом не знали, потому что квартиру снимали. Суши на вкус странные. А соевый соус вообще был разбавленный.","Долгая доставка, Невкусно"
"Заказ еще не привезли, а везут уже 5 гребаных часов!!!!!!!!!!!!
Больше никогда не закажу тут 
В поддержке только и говорят 
Подождите 30 минут, подождите 15 минут…. Зачем они мне в час ночи, если я уже сплю!!!!!!!!",Не доставлен
"за́каз ждала более 2часов.ми́ни ролы́ на́ один зуб,пицца́ сушенна́я́,суп не особо вкусный.","Задержка, Невкусно, Сухо"
"Заказ ждали больше 2 часов в понедельник. Заказали рамен и том ям, супы были холодными, и очень кислыми. Бульен рамена был похож на рассольник. Ролы были нормальными. За супами точно не сюда. Знаю где вкусный том ям продают, но они сегодня не работали. Поэтому решили попробовать здесь. В общем, немного разочарована.","Задержка, Холодные блюдо, Кисло"
"Заказ ждали в 23:18, приехал в 01:05, на два!!!!!!!! часа позже!!!!!
Заказ в 22:16
Внешний вид роллов не соответствует заявленному в карточке.
Неоднократно звонили в поддержку ресторана уточнить статус заказа. 
Сказали, что очередь большая, а по итогу отдали наш заказ другому человеку. Супер, а это выяснилось через два часа. Пообещали пиццу, пиццу не привезли. Роллы отвратные, спайси пересоленные в несколько раз, остальные разваливаются. Эта доставка - ужасная, не заказывайте. Переплюнули сушигуд. Обманщики и вруны.","Задержка, Несоответствие фото, Не довезли, Пересолено"
"Заказ задержали на час, ролы были перевёрнуты, жир с одного блюда вытек в пакет, перепачкав другие контейнеры. Очень странно конечно. На вкус блюда в основном понравились, хотя и пришли уже остывшим.","Задержка, Плохая транспортировка, Жирно, Холодные блюда"
"Заказ задержался на два с половиной часа!!!
От основного времени 
Сабы не подписаны где с чем",Задержка
заказ не был доставлен но зато деньги списали.... .... а не ресторан....,Не доставлен
"Заказ не доставили а попросили забрать самим! Рис недоваренный! Вкуса никакого!
Оператор ссылаясь на то что не может решить этот вопрос вышла из чата!!! Не рекомендую данную сеть","Не доставлен, Невкусно, Низкое качество обслуживания"
заказ не доставили прождали 2 часа,Не доставлен
"Заказ не доставили, в приложении написали что заказ доставлен, это просто возмутимо",Не доставлен
Заказ не доставлен !!!!!ждали 2 часа 50 минут !!!! Как так то !!!но доставили все таки !!!!,Задержка
"заказ не доставлен, а деньги сняли",Не доставлен
Заказ не доставлен. Не закажу больше тут ничего,Не доставлен
Заказ не доставлен. Прошло почти 3 часа,Не доставлен
"заказ не понравился, начинка у пиццы была суховатая и вообще цезарь не такой как в других доставках, ролл сливочный не возможно было взять, он весь разваливался и лосося можно сказать, что вообще там не было...","Сухо, Разваливается, Мало начинки"
"Заказ не привезли , печально",Не доставлен
"заказ не привезли, сказали ждать 2,5 часа",Не доставлен
"Заказ не привезли,ждал очень долго",Не доставлен
Заказ не привезли! Как он может понравится?!,Не доставлен
"заказ не приехал, в самом заведении о нём даже не слышали, зря прождали два часа. не советую",Не доставлен
"заказ не приехал, вечер испорчен",Не доставлен
"Заказ не принимали час, оплата прошла. Ресторан не отвечает, не мне не поддержке. Отмена заказа","Долгая обработка заказа, Не доставлен"
заказ опаздал на 110 минут,Задержка
Заказ отменили приехали гости облом,Отмена заказа
Заказ привезли позднее чем должны были.И заказ привезли не полностью.Что очень печально.Оплату взяли за весь заказ.Позвонила администратору должны вернуть денежные средства за то что не привезли.Будем ждать возврата.,"Не довезли, Задержка"
"Заказ привезли спустя 2 часа 10 минут. Пицца холодная. Да и пиццей то, что привезли, назвать сложно - одно тесто и пара креветок. Роллы невкусные. Начинки мало (и та жуткая), риса куча. Заказывала в этом заведении первый раз. Он же - последний. Не рекомендую.","Задержка, Холодные блюда, Мало начинки, Невкусно"
"Заказ привезли холодным. Картошка фри была отвратительная. Бургер из старого мяса. Курьер забыл отдать колу, пришлось звонить и снова спускаться за ней.","Холодные блюда, Недоготовленное, Не довезли"
"Заказ привезли через 2 часа,пицца была холодная,столовых приборов не привезли вообще.","Задержка, Холодные блюда, Неполная комплектация"
"заказ приехал на полчаса позже. приборы заказаны на 5 персон, пришло на двоих. молчу про то что рыба третьесортная... обидно","Задержка, Неполная комплектация"
"Заказ приняли быстро, доставка была 1.5 часа. Но привезли такое ..., рыба горбуша 100%, Филадельфия? это домашнее творение не обученного повара!!! Это ужассс ,что привезли за 2450 руб. Если Вы хотите приятно провести время за ужином, то обходите стороной это заведение. Абсолютно не вкусные, разваливающиеся роллы, а рыба горбуша.-5 звёзд за такой привезенный заказ на доставку!","Задержка,  Невкусно, Разваливается"
Заказ приняли. Пропали с концами. Ни чего не доставили.,Не доставлен
заказ пришёл не как обещали через 1 час 40 - 1час 50 а пришел через 2 часа 15 мин. Роллы были приготовлено отвратительно когда я получала,"Задержка, Невкусно"
заказ пришел с плесенью на аджике к шашлыку,Несвежие блюда
"Заказ сделал 23:20 привезли только 1:40 безобразие, сижу ем в 2 часа ночи (((((",Задержка
"Заказ сделала в 8 вечера, ( мероприятие запланировано было на 9 вечера,ну край на половину десятого) Сейчас половина одинадцатого,ещё ждемс...настроение испорченно!!!!Заказа нет,курьер по словам девушки что отвечала на звонок,выехал в 9 вечера... Не факт что что-то еще будет тёплым в нашем заказе,если мы его до полуночи получим вообще. Отвратительная доставка о которой даже не предупреждают, при заказе висит сообщение что доставка в течении 60 мин🤨



Получили свой заказ и....дважды просила и в компах к заказу и звонила в ресторан,чтобы прежде чем звонить в домофон,набрали на телефон мне ( спит ребенок) и что, нуууу как в плохом фильме он без десяти одиннадцать,звонит в домофон на весь дом....При этом на бумажке у него написано, позвонить на телефон,больше заказывать не буду из-за доставки и курьера!!!","Задержка, Не учли пожелание"
"Заказ сделали в 11:45 (было написано ожидание 1 час), по факту привезли в 14:11. Сами ролы разваливаются, на вкус тоже не очень. Жаль, что сначала не прочитали отзывы","Задержка, Разваливается, Невкусно "
Заказ сказали ждать в течении 3 часов ! Ну кому эта пицца нужна тогда !!?,Задержка
Заказ так и не привезли. Деньги тоже не вернули. Стоит статус «доставлен»,Не доставлен
"Заказ холодный, васаби с имбирем положили в один контейнер, салфеток нет, курьер ругается матом","Холодные блюда, Неполная комплектация, Низкое качество обслуживания"
Заказ через Чибис не оформили и пиццы с лососем не окозалось,Не доставлен
заказ я так и не получила!!! Даже не предупредили что не привезут!,Не доставлен
заказал в 19:19 . написали что заказ придет в 20:45 . заказ был доставлен 21:33. за это время пицца остыла.,"Задержка, Холодные блюда"
Заказал в 21:08 доставили 23:40,Задержка
"заказал в итоге через час только приняли, согласился с ожиданием полтора часа, приехал курьер в качестве извинения дал бутылку колы которую я не переношу еще и соевый соус не положили😐","Долгая обработка заказа, Неполная комплектация"
"заказал драники с лососем и яйцом пашот, принесли обычные со сметаной, как будто где-то меня... обманули",Не то привезли
"заказал еду в будни, написано +- будет идти минут 60 по итогу ждал 2,5часа и суши приехали все в перемешку","Задержка, Плохая транспортировка"
"заказал пиццу. пришла подгоревшая, сухая. есть невозможно. пришлось просто выкинуть.","Горелое, Сухо"
"Заказал по баллам дополнительно шашлык, не привезли",Не довезли
"заказал позвонили сказали через 40 минут привезут прождал 2 часа только детей про надежел просто отвратительно повела себя оператор когда позвонил ,после всего ожидания сказала только начинаем делать 🤦 про вас немного забыли!!!!!","Задержка, Долгая обработка"
"заказал сет на двоих и гуканы за баллы
приехал протухший рис с рыбой и имбирь с плесенью (1160р+500баллов)
категорично не советую тут заказывать",Несвежие блюда
"Заказала в ресторане ПитьКофе борщ. Пюре, мясо индейки с овощами - все блюда не Солёные от слова совсем. Если борщ ещё можно посолить, то как исправлять ситуацию с уже еле тёплым пюре и мясом - непонятно. Сало к борщу как-будто пропало, есть невозможно. У борща странный привкус, которого раньше не было, я считала, что это лучший борщ в городе, но не в этот раз. Смузи неплох, но горьковат. Овощи с мясом индейки имеют тоже странный привкус, как у борща. Из-за этого портится все во вкусовом сочетании( К хлебу нареканий нет)) сырники не пробовали, но надеюсь, что они хотя бы вкусные.. в этот раз заказ остались очень разочарованы данной кухней, заказывать ещё как-то не хочется.","Недосолено, Несвежие блюда, Горько"
"Заказала набор роллов,разочарование сразу как открыла крышку контейнера . Роллы маленькие (даже мизерные) , начинки мало , ешь просто рис с сыром . Ужасно !!! Потратила 1800₽ за рис . Больше никогда не закажу , и вам не советую!!! Ребенок даже есть не стал , выкинула в мусорку деньги. Написала сразу отзыв , мне перезвонил администратор, и сказал , что приготовлено все по ттк , интересно … заказывала год назад было очень вкусно , наверное тогда готовили без ттк! Ужасно просто!","Маленькие порции, Мало начинки"
"Заказала себе доставку. Позвонили и сказали что доставка будет через 2-3 часа из за загруженности, это я поняла и ничего против не имею. Привезли заказ , сразу не поняла подвоха. Пицца была как в заказе , но увидела что место 2 картошек фри положили 2 шаурмы. Заказали бургер с курицей но вместо курицы была свинина, а у нас на неё аллергия. Вместо супа солянки был борщ. В общем мой заказ перепутали с кем то . Из за ошибки логиста у брата началась жуткая аллергия","Не то привезли, Задержка"
"заказала сегодня впервые у них,в 20.39 сейчас 23.08,ни заказа ни обратной связи нет!ужасное отношение к клиентам!!!ещё интересно через сколько деньги вернут за заказ и вернут ли?!!!!Не рекомендую!Шарашка!",Не доставлен
"Заказала сет 1,3 кг и плюс ещё выбрала подарок. В итоге привезли 1,2 кг в общем весе! 
Зачем вводить в заблуждение покупателей такими названиями???",Несоответствие граммовки
"Заказали 3 набора роллов, все роллы нарезаны неравномерно, разной ширины, один ролл больше или меньше другого. Шапки у запеченных роллов прилипли и были размазаны по крышке коробки.
Вкусно, но внешний вид оставляет желать лучшего. Второй раз заказывали и оба раза одни и те же недочеты во внешнем виде.",Непрезентабельный внешний вид
"заказали 4 ролла с разными начинками для разнообразия, а они все внутри одинаковые - огурец, сыр и омлет. и сверху одна и та же шапка из майонеза. даже самые дешевые доставки в городе так не делают. однозначно не рекомендую",Несоответствие состава
"Заказали в 23:08. Привезли в 2:08.
Хотя когда заказывали написано было в течении 90мин!!!
Привезли пиццу холодную не возможно есть!!!
Суши привезли тоже холодные!
Вообще безобразие какое то!!!","Задержка, Холодные блюда"
"Заказали в 7 вечера. Час не могли обработать заказ, пока сами не позвонили. Доставили в 11 вечера. Невкусно. И это в понедельник. Не рекомендую","Долгая обработка заказа, Задержка, Невкусно"
"Заказали впервые в этой доставке, запах у рыбы на Филадельфии ужасный, болотом или грязной тряпкой, аж аппетит отбило.
Соевый разбавленный на вкус как соленая водичка, запеченные роллы еще около дела.
Хочется какое то решение этой проблемы.",Несвежие блюда
"Заказали впервые. Мало того, что доставка более 2-х часов вместо обещанных 1:40. Так конечно все холодное. Роллы развалились, безвкусные. Салат как будто прокис, лимон не помог. От шаурмы только тесто и сыр!","Задержка, Холодные блюда, Разваливается, Безвкусно, Несвежие блюда, Мало начинки"
"Заказали горячие роллы, но доставили очень холодные.",Холодные блюда
"Заказали доставку в час ночи, обещали привезти в 02:02, в итоге прождали до 3 часов, трубку никто не брал, есть уже никакого желания не было, хотелось только спать. Бургер и шаурма максимально холодные, для супа положили вилку. Просто супер!!!","Задержка, Холодные блюда"
"Заказали доставку шашлык из говядины, воняет испорченное мясо, деньги на ветер",Несвежие блюда
Заказали заказ в 21:00. Время 00:00 заказ так и не доставили. 3 часа готовить обоссаный сет это 👍,Не доставлен
"заказали куриное филе, есть не возможно, солëное ужас, а на него был рассчитан ужин, соусы не соответствовали, вместо сырного, просто майонез","Пересолено, Не то привезли"
"Заказали первый и последний раз, пицца за баллы приехала ""почерневшая"".На вид, сгоревшая что снизу, что снаружи.Нету аромата пиццы, а только гарь. Роллы более менее, но есть к чему стремиться.Жаль нельзя приложить фото.",Горелое
"заказали первый раз шашлык с курицей, везли очень долго, прям 2 часа, приборы не положили, шашлык пересоленый и таких денег конечно не стоит","Задержка, Неполная комплектация, Пересолено"
"Заказали роллы в 20.34 , сказали ,что привезут через 1-1,5 возможно с задержкой ,в итоге привезли через 3 часа!!!!!Звонили девушке 3 раза и каждый раз говорила 15-20 минут ,которые продолжались очень долго,3 часа ждали,остались голодные и без настроения ,потому что привезли в итоге все холодное и не вкусное ,в роллы один рис……","Холодные блюда, Невкусно, Задержка, Мало начинки"
"Заказали самовывоз, никто не звонил, приехали забирать , оказывается они должны были его подтвердить, но еще раз повторю, мне звонков не поступало. На точке сказали , ждите 30 минут. Хорошо, жду. Решила связаться с техподдержкой, в приложении только возможность заказать обратный звонок, пыталась сделать это раз 5-6, также не дождалась звонка. Забрали заказ больше чем через час. Так еще и в итоге уже дома видела что у двух пицц из 5 слишком поджарены края, аж черные(фото есть). Никакого желания больше заказывать тут нет, впечатление испорчено!","Долгая обработка заказа, Задержка, Горелое"
"Заказали Сет Горячий. Отвратительный. Всегда заказывали либо Япошу либо пару роллов. Решили попробовать другой сет. 1. Чем-то воняет. 2. Невозможно есть(все разваливается, рыба переваренная). Не будем больше нового ничего пробывать.","Разваливается, Переварено, Плохой запах"
"Заказали сет и отдельно Филадельфию за 345 рублей, в порции за 345 рублей было всего 4 шт . То ли не доложили , то ли порция Филадельфия уже 700 рублей стоит ?! Всегда оставляла положительные отзывы , но в это раз цена меня не устроила","Не довезли, Дорого"
"Заказали сет половинка и пиццу Маргарита. Во первых обещали время доставки максимум 1,5 часа, привезли только через 2 часа, во вторых роллы очень маленькие с ноготок, пицца была подгоревшая и без помидоров, чисто сгоревший сыр. Разочарована данной доставкой…"," Задержка, Маленькие порции, Горелое, Несоответствие состава"
"Заказали Тальяту из говядины и у меня вопрос: для чего вы положили туда пол контейнера жареного бекона? В составе он не указан, сами куски мяса жирные и огромные (не как на фото), шницель очень жирный, масла очень много, разочарованы.","Несоответствие состава, Жирно"
"Заказали тяхан, удон и за баллы гунканы. Лапша и рис были вкусные очень. Гунканы стухшие, кислые, на вкус как выбросы какие-то. Выкинули….
спасибо сушилка) а мне нравилось тут","Несвежие блюда, Кисло, Невкусно "
"заказанная солянка полетела в мусорку, повар забыл о соли , присущей кислинке, вообщем никакая, вода водой",Недосолено
"Заказываем не первый раз, пицца размером была меньше чем обычно, начинки как будто тоже пожалели. Рыба на Филадельфии не первой свежести видимо ( прикус и запах). Вторая порция роллов была вкусная.","Маленькие порции, Мало начинки, Несвежие блюда"
"Заказываем теперь только у вас, роллы как всегда вкусные, аккуратные. Но в этот раз положили роллы не с курицей, а с огромной майонезной шапкой и внутри со сладким тестом или омлетом (так и не поняли). Дважды нажимали кнопку чтобы связались с нами, звонок так и не поступил..","Не то привезли, Низкий уровень обслуживания"
"Заказывал в ночь с 16 на 17 июля 24 года сэт запечённых роллов, ролл с названием Унаги маки и пиццу за баллы. Оплатил онлайн, в 22:54 16-го числа на сумму 1250₽ и 800 с лишним баллов.
Никто не позвонил, не уточнил заказ, всем плевать. Хорошо, спустя пол часа попросил связаться со мной, связались оперативно. Спросил про заказ, сказали, что он будет готов в течение 2(!) часов. Стало страшно, но думаю, окей. Подожду.
Все время провел в ожидании, по итогу в 00:55 снова попросил со мной связаться, чтобы уточнить по заказу, что с ним вообще и через какую таможню он едет, сказали, что курьер уже выехал 5 минут назад и будет в течение 10 минут. Спустя 15-17 минут курьер позвонил в домофон и принес заказ. Думаю, слава богу, неужели я не умру от голода, но жизнь иногда ставит нам подножки, на чем сакцентировала внимание данная контора и напомнила, что доверять нельзя никому.
1) Сет запечённых роллов за 930 рублей. Если у вас возникло желание его заказать, посоветую сразу иметь при себе микроскоп, ибо без него найти их в контейнере практически невозможно. Они настолько маленькие,  что я был просто в ужасе, когда увидел, за что я отдал эти деньги. Сделаны неаккуратно, некоторые роллы видимо перед доставкой до адреса сделали тройное сальто в контейнере и умерли по дороге. Хотя я не уверен, что этот фактор связан с доставщиком, скорее они уже были полуразвалившиеся ещё на этапе упаковки.
2) Унаги маки. 320₽ за 8(?) роллов размера микроба без соуса Унаги от слова вообще))))) Даже капли соуса я видимо оказался недостоин, мол итак пойдет за такой ценник.
3) Пицца. Пицца без фольги, просто лежала в коробке, но даже несмотря на ее состояние схожее по структуре с сухариками три корочки и отсутствие вкуса как такового была лучшей позицией из доставленных.
4) Комплектация. В районе 5 баночек с соевым соусом, что объемом вышли больше чем граммовка всех роллов вместе взятых, 1 баночка с пастой васаби, похожей на пластилин или мастику и 1 баночка с крашеным маринованным имбирём. С палочками не обосрались хоть, уже неплохо. Салфетки вышли из чата, пришлось вытираться занавесками.

Подводя к итогу, я, без опыта в готовки восточных блюд (как и видимо повара, что собирали мне заказ) сделал бы лучше и быстрее за тот же ценник. Не совершайте моих ошибок и закажите что-нибудь съедобное. Снимаю шляпу.","Долгая обработка заказа, Задержка, Маленькие порции, Несоответствие состава, Невкусно, Неполная комплектация"
"заказывал овощи гриль за бонусы. баллы списали , но в заказе их не было.",Не довезли
"Заказывал по карте курьеру по итогу оплата наличкой,солянка ужас","Изменили способ оплаты, Невкусно"
"Заказывал чизбургер, дали чикен бургер.",Не то привезли
"заказывала за балы с креветкой,привезли со  крабом.долгая доставка","Не то привезли, Долгая доставка"
"Заказывала запеченные мидии , так в соусе мне попался ОСКОЛОК от раковины мидии, В СОУСЕ КОТОРЫЙ СВЕРХУ!!! Это ужас! В комплектации был имбирь , жаль что нельзя приложить фото - ОН ВЫСОХШИЙ, ПОТЕМНЕВШИЙ , выглядит так , будто он лежал на солнце неделю! Так же в заказе была пицца , ну это отдельный вид искусства - бортики сухие, вид ну вообще не съедобный, накидали куски мяса на пофиг. Однозначно заказывать не буду больше тут. Аппетит испорчен, впечатление о данном заведении тоже.","Сухо, Инородный предмет в продукции в продукции"
"Заказывала люля кебаб из куриной грудки, в итоге привезли из свинины, плов не понравился",Не то привезли
"Заказывала первый раз и думаю это последний...
Ужасная комплектация, но это не самоё страшное...
Пицца вкусная, но роллы готовить Вы не умеете от слово ""совсем"".
Ужасный вид отвратительный вкус, продукты не все СВЕЖИЕ, все разваливается.
Спасибо за испорченный вечер!","Невкусно, Неполная комплектация, Несвежие блюда, Разваливается"
"Заказывала хинкали и хачапури, хинкали вроде ничего, но раньше были вкуснее... Но хачапури, тонкая лепешка, очень жёсткое тесто, сухое, начинки почти нет(((","Невкусно, Сухо, Мало начинки"
"Заказывала через приложение чибис, мой заказ  потеряли, выяснила это после того как позвонила на прямую в ресторан. В итоге, заказывала в 16.15 получила заказ в 20ч .
теперь о еде.. Я не привиредливый человек, но это не вкусно. Запечённые ролы вообще ни о чем, чувствуется один рис и жирный соус сверху, жареные ролы на  четвёрку.
За такие деньги я не почувствовала ни угря, ни лосось.
Больше в этом заведении заказывать не буду.","Долгая обработка заказа заказа, Невкусно, Много риса"
"Заказывали в первый раз, не понравилось...",Невкусно
"заказывали горячие, привезли всё холодное, доставка с опозданием на один час","Холодные блюда, задержка"
"Заказывали Домино, привезли Ханами которые нам в прошлый раз не понравились👏🏻👏🏻",Низкое качество обслуживания
"Заказывали за баллы фила кунжут ролл.
По итогу привезли какие-то роллы с крабовыми палочками. Позвонила и сообщила оператору о проблеме, на что мне сказали, что на кухне просто перепутали - извините. На этом все!",Не то привезли 
"Заказывали китайскую кухню, рис сухой, морепродукты горькие, мясо с ананасами слишком отдают уксусом, свинина в сухарях сухая и с кусками приправы","Сухо, Горько, Несвежие блюда"
заказывали первый раз тут и в последний сет просто ужас а пицца была сделана из непойми чего и видны были только помидоры и больше ни чего,"Невкусно, Мало начинки"
