текст,категория
Почему в чибисе платная доставка....отвратительно обманывать своих клиентов,не спам
"Еда ко мне не пришла, о каком заказе идет речь",не спам
Ждали заказ 2 часа. Жуть.,не спам
"Роллы вкусные, но опоздали на 58 минут! Заказ был оплачен онлайн, а так бы отказались. Пожалуй, по пятницам в этой компании заказывать не стоит. Диспетчер на наши звонки и вопросы по заказу ничего внятного сказать не могла, только что заказ у курьера. А курьер, видимо, шел пешком. Устало передал нам заказ и ушел.",не спам
"Заказывала первый раз и последний. Есть можно, но удовольствия не получила. Том ям какой то разбавленный. Сливочный суп с лососем  не соответствует заявленному составу! В нем был обжаренный репчатый лук вместо зеленого и я не нашла ни одного вакаме!",не спам
"Доставка по времени нормальная, в целом сет выглядит хорошо, но запечённые роллы выглядели совсем не запеченными, из-за чего мы связались с сотрудниками, чтобы как-то это решить, и они отменили наш заказ, оставили его нам. Средства должны вернуть, ждём. Спасибо за отзывчивость.",не спам
"заказали за баллы,а взяли за не баллы.долго везли.суши разваливаются.",не спам
"То что на картинке и что привозят большая разница, заказал цезарь с криветками привезли сухарики и какую-то белую субстанция, ни криветок  ни помидоров ни курици в салате небыло.",не спам
"Ужасный постный вкус еды, рис - детская каша, пицца - бесвкусная, сухая, хлеб с пересушенной курицей обычный. Не смогли даже покушать, только попробовали. Желудок заболел сразу! Везли 2 с половиной часа, это жесть. Не рекомендую однозначно!",не спам
"доставка сильно задержалась. у меня день рождение!!! гости ждали меня, а ждала вашу доставку. спасибо за испорченный праздник",не спам
"Не положить не одного прибора. Везли очень долго, более 2х часов. У целом роллы понравились,ю по вкусу, но положили очень мало имбиря и васаби. Больше всего в шоке что нет приборов",не спам
"Роллы все разного размера,очень маленькие и кривые и разваливались.Вес сета не соответствует заявленному,было на порядок меньше. По вкусу не плохо,но не в восторге.Своих денег не стоят.В набор даже минимальный набор не кладут- соус,имбирь и тд",не спам
первый раз столкнулись с тем что не доложили 8 штук роллов,не спам
"Не тот заказ пришел, роллов по количеству штук меньше и визуально видно что не те. Связаться с вами пыталась , но никто не ответил.",не спам
"ЖДЕМ ПОЧТИ 3 ЧАСА А РОЛОВ ДО СИХ ПОР НЕТ, ЗАЧЕМ ЖЕ ЗАКАЗ ТОГДА ПРИНИМАТЬ!?!? ГАДЫ",не спам
"не привезли во время. 
сама позвонила через пол часа, на что мне ответили что доставка будет через пол часа. 
девушка все время то бросала трубку, то просто молчала безответно. 
скидка в 100₽ не вернет мне мое время и мероприятие которое было уничтожено!!!
всегда заказывалавэ этом месте. Сейчас разочарована хуже некуда. Не ценят своего покупателя! 
Оператор хамло.
Если не успеваете увеличте изначальное время ожидания или хотя бы звоните заранее и предупреждайте",не спам
"самая ужасная доставка, три часа везли заказ, наверное, больше бы везли, если бы не звонила им. Привезли все холодное,фри выкинули, есть не возможно, пиццу хорошо хоть можно погреть было, роллы это вообще смех, супер тонкие, я такие первый раз вижу. Больше точно никогда у них заказывать не буду и не советую никому. Вечер, настроение и деньги просто выкинули на ветер.",не спам
"нет возможности списать баллы, и никто помочь не может",не спам
Не доставили и не перевозили даже,не спам
"качество продуктов - у больше половины роллов был душок тухловатой рыбы... съеден один ролл... вынесла птицам на улицу, очень надеюсь что утром на улице не обнаружу кладбище голубей... соевый соус - это не соевый соус !!! это вода ... даже запаха соевого соуса нет... цвет и плотность как у обычного чая ... насколько вы там разбавляете соус ?! да еще и по пол соусницы наливаете.... 
А так же в заказ не положили оплаченный спайси соус. Обратилась в поддержку чибис, сказали что ресторан свяжется. До сих пор (7.09.24 1:32) ресторан со мной не связывались из ресторана после доставки заказа (6.09.24 15:50). 


самый плохой ресторан японкой кухни , в котором я когда либо делала заказ , это Коноха.",не спам
"сделали заказ за 2 часа до закрытия, по итогу заказ так и не приехал.",не спам
"заказала доставку, прождала 2.5 часа так и не дождалась. 
отличное заведение очень классно если хотите настроиться и остаться голодными рекомендую.",не спам
"Доставили не то блюдо, пицца была пригоревшая, есть невозможно, заказывайте на свой страх и риск",не спам
"Сделали заказ в пицца мафия 7 сентября. Доставка по времени была нормальной и это единственный плюс..
Заказали: пиццу (за баллы), том ям, сладкие роллы и вок. К сожалению, вок не положили. Оплатили все блюда, но не всё поели! 
Пицца вкусная и хрустящая, том ям неплохой, но рис к нему очень кислый и уксусный. Вок оценить не можем, так как его не положили! Сладкий ролл..это что-то с чем-то, просто отвратительный. Крем явно испортился, так как отдавал кислотой и мылом!! 
Часто заказывали в данном месте, но этот раз точно был последний.
Так же хочу сказать, что курьер разочаровал своим отношением. Просто кинул пакет в руку и достал терминал для оплаты без слов. Я оплатил, он быстро начал убегать и крикнул ""счастливо"". Сервис просто на высоте 👍
Спасибо за отвратительную еду и испорченный вечер.",не спам
Не доложили васаби и имбирь,не спам
"Через час после заказа позвонили и спросили точно ли нужен заказ, вовремя разговора смеялись, привезли в итоге через 2 часа. Порции маленькие, с изображением на сайте не совпадают.",не спам
"Что произошло? Сначала 35 минут доставки горячих блюд, теперь больше часа после принятия заказа, это при том,что хаказ был принят через полчаса после отправки. Это Новчик так повлиял? Мало заказов? Может нормально делать, заказы появятся?",не спам
"еда была отвратительная. дал отзыв. мне слезно написали, чтобы удалил его . обещали пиццу. после удаления технично свалили. не ведитесь на этих мошенников",не спам
"ждали 3 часа доставку ,привезли все холодное ужас просто,привезли не то что заказывали в сети не было ролов которые должны были быть",не спам
Не хватало одной заказанной порции,не спам
"Доставка долгая. Был заявлен 1 час доставки,итог - ждали почти 2 часа. Привезли только один хачапури,второго не было. А так,еда вкусная)",не спам
"Не положили соевый соус, есть было противно, если бы не было поздно сбегали бы в магазин и купили. Обидно что половину пришлось выкинуть.",не спам
"Не понравилось. Доставку задержали и не очень вкусно, рыба не свежая",не спам
"в заказе отображалось что доставка будет на 23:34, в итоге заказ приехал в 00:10",не спам
отвратительно. всё холодное. цена выше чем заказывали. не рекомендуб,не спам
"Доставка полтора часа, хотя курьеру отдали через 30 минут. Всё приехало холодным. начинки меньше, чем в додо, хотя куда уж меньше ( там хотя бы за 30-40 минут привозят горячую чаще всего). Курьер(ка) позабавила, отдавая пиццу со словами ""осторожно, горячо"", хотя пицца холодная даже при температуре 25 на улице. У нее там скрытая камера или петличка с микрофоном? Корки у пиццы несъедобные. В общем, Чиббис, с таким флагманом доставки, не знаю на что вы рассчитываете.",не спам
"Отвратительно.Доставка 3 часа,и то,пока сами не позвонили.Оказалось,что наш заказ даже на кухню не был передан.Роллы разваливаются,рис недоваренный,хрустит на зубах.При заказе уточнила,чтоб роллы были без унаги соуса,по итогу всё залито этим соусом.",не спам
"Постоянно заказывали раньше здесь еду, больше не будем надоела который раз что то да не довозят. Во первых ролы разваливались еще и соевый соус не довезли том ям опять с зеленью надоело уже звонить и жаловаться. Больше здесь заказывать не будем.",не спам
"ожидание 7 часов,привезли не всё,это ужасная контора.больше заказывать в империи не буду ничего.",не спам
"курьер опоздал более чем на пол часа, контора никак не предупредила что курьер опаздывает, по итогу привезли роллы которые должны быть горячими в холодном виде",не спам
"Ожидаем заказ 2,5 часа, пытались дозвониться в ресторан, узнать время ожидания,ресторан 1 раз взял трубку узнал адрес заказа и сбросил трубку, далее на звонки никто не отвечал. Заказ не получили",не спам
"заказала удон к креветками и беконом, а приехал с курицей(?) и беконом.",не спам
"Доставка задержалась, пицца холодная (похожа скорее на лепешку с сыром)
Роллы раскиданы по контейнеру (отдельный привет доставке)",не спам
"Заказ доставляли 3,5 часа, ссылаясь на то, что не передали заказ в нужное кафе, бред сивой кобылы",не спам
"Опоздали на полчаса, не довезли одну пиццу, за 3 часа не смогли решить этот вопрос, ресторан просто закрылся! Не советую связываться",не спам
"второй раз забывают что-то положить. Первый раз была пицца за баллы, но это ладно, сейчас не положили ролы, которые были заказаны за деньги",не спам
"Сделал заказ, сказали будет через два часа. Я подумал ну раз так долго значит все будет свежее и теплое, но по итогу получил все холодное, еще и не положили коллу, которую я заказал, сейчас попросил связаться со мной и даже сам позвонил им, но никакой обратной связи нет. Спасибо, буду есть в сухомятку.",не спам
"состав роллов эби Спайс изменили, из-за чего есть было невозможно, ощущение, что один чили перец положили и обернули  в рис (эти роллы мы заказывали довольно часто так как очень вкусные )",не спам
"Сделал заказ, указал приборы в комплектации, их не было. Пришли не те роллы, связался с администратором который сказал что разберется и перезвонит. Так и не перезвонил, проблема не решилась.",не спам
"Доставка очень долгая... Больше 2х часов. Ожидание было максимально нацелино на бомбический вкус роллов, но к сожалению этого не произошло.... Вкус на 3, хотя заказываем уже не первый раз  и всегда было топ...что случилось в этот раз не понимаем...",не спам
"заказ сделали в 10 вечера, так его и не получив... сейчас время 00.38!!! спокойной ночи.",не спам
Перепутали заказ вместо двух стипсов положили три сырных палочек,не спам
"заказала воду и помпу для бутыли. в комплектации к помпе должны идти 2 соединительные трубки, которых нет, из-за чего пользоваться помпой невозможно. на телефон не отвечают",не спам
за место барлетты привезли престо,не спам
"Доставка просто ужас,вранье про время доставки!шавуха вся залита майонезом,мало овощей,лаваш весь черствый,старый!Раньше брали шашлык,было норм!Готовили 2 часа 2 Шавухи и нагетсы с картошкой фри!",не спам
Не привезли пиццу за баллы,не спам
"Как обычно все вытекло в пакет, на две порции шашлыка положили маленькую баночку соуса, вторую картошку просто забыли…",не спам
ожидание заказа по два часа такое себе когда сказали что 40 минут,не спам
"Сырные палочки невозможно есть, одно масло, никакого вкуса, чесночный соус не положили, за него было оплачено
К роллам претензий нет",не спам
"Отвратительный сервис. Сделали заказ, через час звоню говорят у них оповещения не поступило пока они разобрались, вообщем заказ приехал через 2.10, девочки администраторы перестали брать трубки и что ли бо объяснять. Вообщем не рекомендую.",не спам
В заказ не доложили соус терияки,не спам
"Вкусно, приехало тёплым. Из минусов: не положили 1 соевый, 1 имбирь",не спам
"Доставили быстро,мужу острая шаурма очень понравилась, а классическая какая то нейтральная, несоленая не кислая одним словом не какая, из минусов очень много лаваша, и в комбо не положили, хотя должны были 2 ягодных морса, но в целом, неплохо",не спам
"Жаль что отдельно нужно заказывать имбирь, соус и васаби. Роллы по вкусу нравятся, только по граммовке как будто их меньше... Доставка долгая. В 7 часов вечера заказали в половине 10го получили. Пицца мягко говоря не очень...",не спам
не доставили сома заказала 2 привезли 1 порцию,не спам
"не положили заказ за баллы( 
но могу сказать так что было очень вкусно",не спам
"после оплаты заказа, звонят подтвердить, и говорят чибьис пишет доставка порядка 30 минут, но придется ждать часа полтора...будите ждать? 🤷  ну как так модно что-то планировать.. привезли в итоге в 22 часа, а плачен в 19:57, я так понимаю, что им не выгодно через чиббис работать и они, по разговору , намекают отказаться от заказа, сами попробуте контрольную закупку сделать...",не спам
Не положили нагетсы за бонусные баллы,не спам
"Положили не тот ролл, который идет за баллы",не спам
"Роллы вкусные, больше всего понравились запеченные, рис слегка разваливался, но это никак не повлияло на вкус. Расстраивает только приложение, в котором не отследить текущий статус заказа и курьера, чат с поддержкой подтупливает😒",не спам
"Сделали заказ 22:40, прождали больше часа, от ресторана не звонка, ни смс, связаться с ними не было никакой возможности, по итогу ресторан закрылся и заказ остался находится в зоне обработки 😡",не спам
"Привезли сет из 16 роллов. В описании написано сета - 32 штуки. Не положили еду за баллы. Опоздали с доставкой на 30 минут.
Впечатление не очень",не спам
"Роллы вкусные, но обидно что вместо имбиря положили васаби(((",не спам
"честно говоря бургеры вообще какие то невзрачные, просто какая то непонятная котлета супер мягкая и безвкусная, как будто в ней один батон, соус непонятный фиолетовый о котором даже в составе не написано, как будто ягодный. а вот пицца божественная, самая вкусная пицца что я ей за последнее время, по сравнению с вонючей обмазанной манкой додо, прямо небо и земля, роллы с курицей, которые типо додстеры, уверенно дают самим додстерам за щеку. Продумайте бургеры, а так вообще 10/10👍👍👍👍👍",не спам
"Конечно желает лучшего. 
Нагетсы  в меню указано 14 шт привезут вам 10.
Лапша рисовая просто на дне лежит комком, вся слиплась. Есть не возможно. Цена и качество не соответствует от слова совсем. 
Приложила бы фотографии, но к сожалению нельзя",не спам
"доставка 2.5 часа вместо обещаных 60 минут, 
знали бы лучше сами забрали, 
жаренные ролы были холодные, некоторые роллы разваливаются, думаю заказывать больше не будем",не спам
"Сделал заказ, его приняли в 8 часов, в итоге его так и не привезли, оплату делал сразу, поэтому ни заказа, ни денежных средств. Сейчас ожидаю возврата. Заказывать больше не буду в этом ""ресторане""",не спам
"Обманули с морсом и не умеют урегулировать конфликты, больше не буду заказывать в этом ресторане",не спам
"Вместо том ям с курицей , привезли с креветкой, доп к пицце тоже вместо свежего Чили, просто посыпали красным перцем",не спам
"Я сделала два одинаковых заказа, оба оплачены. По факту- привезли ОДИН, а второй отменили! Как так? Даже не перезвонили. Сами роллы маленькие с сделаны небрежно",не спам
"Отвратительная кухня , очень долго ждали заказ ! На звонки не отвечают! Деньги были сразу оплачены , поэтому было не отказаться ! Впечатление испорчено , и зря потрачено время в ожидании ! Не советую !",не спам
"На полтора часа задержали доставку, очень долго отвечали на звонок, не внятно по какие причине долго везут заказ, сказали что привезут через 20 минут, а привезли через 40",не спам
"как обычно у этого ресторана доставка дольше чем 60 минут. 
рис сварен плохо. очень слипшийся, креветки малюсенькие
мало имбиря положили",не спам
Заказ и не пришёл сервис говно,не спам
"Заказ был в обработке более получаса, пока не написала в поддержку, готовить не начали. Роллы разваливались, 2 из 3 были меньше по весу, чем заявлено.",не спам
"очень долгая доставка, ждали два часа вместо обещеного часа",не спам
"Прислали совершенно не то, что заказывали. В заказе было одно , а прислали какое то говно. Неаппетитное. Не советую тут заказывать",не спам
"Роллы не очень , заказывала сет Регулярный написано что там 80 кусков на деле оказалось 64 , васаби соевый отдельно докупать надо - вайб, для бюджетных ресторанов норм, но лучше переплатите и закажите вкусные)",не спам
Доставку задержали на 40 мин. Ролы холодные и не вкусные. Это мой первый и последний заказ в этом ресторане!,не спам
заказа не весь.возврата денег нет,не спам
"Не доложили позицию, попросил обратной связи, так и не позвонили",не спам
заказ был доставлен не вовремя.пицца и роллы были холодными,не спам
"заказал вок с морепродуктами,привезли разваренную лапшу,морем и не пахнет.
второй с беконом острый, тоже бее.Не стал есть. роллы по акции тоже не дали,обманули",не спам
"Колу забыли положить, 20% меню нет в наличии",не спам
"Заказ за баллы не доставили, половина роллов были не вкусные, не стоит своей цены",не спам
"в чибис написано доставка час 20 , в итоге я сам приехал через 2 часа и заказ не был готов",не спам
"Отменили заказ. Спасибо, поела в ночную смену.  Всего наихудшего!:)",не спам
Заказал одно привезли другое,не спам
"Из обещеных 30-60 минут, приехало через 2 часа. В трех из 4х коробочках суши перевёрнуты верх дном. Единственный плюс только во вкусе. 
Общего впечатления- нет.",не спам
"Заказала доставку самовывозом из приложения,один ролл заказала за баллы,при встречи сказали оплачивать картой роллы,которые за баллы купила в приложении,сказали не наша вина,приложение заглючило,либо забираем роллы,либо оплачивайте,их проблема,хотя бы разобрались и в качестве извинения решили бы эту проблему,вместо того,чтобы требовать деньги,которые я заказала за баллы!!!",не спам
доставка была ужасна. на 40 минут опоздали. принесли горячий суп не доготовлен до конца. салат 4+ две пиццы на 2 ...вообще не понимаю за что плачу деньги.,не спам
"Не в первый раз заказываю, но такое впервые. Доставка задержалась, положили только одни палочки и 2 оооочень маленьких соевых соуса, васаби не положили. Роллы почти все были пересоленые",не спам
доставили не то что я заказывал,не спам
"Заказ привезли через 2,5 часа вместо обещанного одного часа! Все роллы смешались в одну большую кашу! Каждые 15 минут звонила спрашивала где заказ, каждый раз обещали через 15 минут! Темпурные роллы горелые🤦🏽‍♀️ соевый соус весь разлилсяв пакет! Сказали положили подарок в знак извинения, а по факту только мой заказ, подарком наверно были потраченные нервы и время 🤣 ужас, а не ресторан. Жаль нельзя приложить фото",не спам
"Очень долго ждали заказ, хотя изначально время стояло раньше",не спам
"Честно , понравилось все кроме доставки , заявлено было что примерно в 20:59 , в итоге приехал курьер в 21:40 . Позвонила менеджер:» сказал что типо пробки « .В итоге роллы холодные , пицца холодная …. Не очень знаете ли кушать холодные ролы .",не спам
"Заказывал 2 супа Том Ян, привезли один, курьер красавчик, сразу ответил, и сказал, что делать, отписался в тех. поддержку, просто молчат(",не спам
"Просто ужас! Сделала заказ в 18:23, подтвердили заказ только после моего обращения в тех поддержку через пол часа, трубки не берут, сами не перезванивают, подтвердили заказ, сказали через 30 минут готово будет на самовызов, позвонила я через полтора часа, оказалось заказ не распечатали, забыли, не извинились, сказали «сейчас быстро вам соберем новый», в приложении поставили что я получила заказ в 19:40, но я его еще точно не получала и разговаривала с ними в 19:53, в итоге прождала заказ 2 часа, голодная и с испорченным вечером",не спам
"Маргарита вкусная, остальная пицца была не очень. Бонус не доложили",не спам
"заказывала 2 комбо ""чизбургер"", не положили колу. очень неприятно.",не спам
приборы не положили совсем.роллы все развалились.при заказе назвали одну сумму в итоге заплатила на 250 рублей больше,не спам
Привезли другой заказ по ошибке,не спам
"Который раз заказываю, ни разу не доставили
Якобы загруженность большая у них🤦‍♀️",не спам
Доставка так и не было..звоники не ответили,не спам
"Привезли пиццу цезарь без листов салата и сухарей,к ВЕЧЕРУ ЗАКОНЧИЛОСЬ. И напитки забыли привезти, не рекомендую",не спам
"Это жесть… Курьер сказал я не буду подниматься. Ну и смысл тогда доставку заказывать, мог бы и сам сходить. Привезли пельмени, они не вареные, даже нигде не написано, что они не приготовленные. Цены не актуальные. Позвонили и сказали, что цена будет выше, не успели обновить. Вареники кислые, пирожки, как на рынке, а сок, как в школьной столовой.",не спам
"Заказал, с другом бургеры с двумя котлетами , а они были оба с одной . Больше не закажу .",не спам
Не доложили колу к заказу,не спам
"Не прислали блюдо за баллы! В остальном нормально, в том яме много лука репчатого, гречневая лапша кажется перевареной. Привезли потом.",не спам
"Чибис доставил быстро, но, к сожалению, ресторан положил не все блюда. Также ресторан напутал и положил обычные хинкали, в заказе жаренные. Ну,бывает, недоглядели. По вкусу как всегда замечательно)",не спам
суши за баллы не положили((((,не спам
"Вкусные крылышки, картофель и пицца. Но....заказала обед, на сайте были : салат ""Весенний"" , суп - пюре из шампиньонов и тефтели с пюре....привезли : помидоры с сыром, квашеная капуста с порезанными сосисками( никогда бы не заказала🫣)....не знаю, как на сие реагировать.",не спам
"в полном обеде написаны одни блюда, а привезли совершенно другие...",не спам
"Пришло уведомление спустя 40 минут после оформления заказа, что курьер в пути, ждала еще больше часа. Вся еда холодная и потеряла вкус. очень неприятно. 🥺",не спам
"Ждал 3 часа,заказ не пришел.В приложении было написано,что доставлено.На что служба поддержки сказала все было доставлено,не понятно кому.Не советую.",не спам
"не входит в стоимость васаби, соевый соус и  имбирь, огромный минус, на такой заказ
как это объясните? в итоге привезли просто суши,?
в приложении не было дополнительно заказать васаби, соус и имбирь.
как это понимать?",не спам
"Здравствуйте! Заказ сделали к определенному времени! Привезли с ооооогромным опозданием в 1 час, на звонки ресторан отвечал что заказ будет через 5 минут, потом через 10 минут спустя это время вообще сказали что через 20 минут!! В итоге пиццу привезли вообще холодной! Полы не плохие! Но зачем кормить обещаниями, когда можно было просто сказать что много заказов и придется подождать определенное время, а не обещать на каждый мой звонок что заказ поступит с выше написаное время!!",не спам
"Опоздали - простительно. Сегодня доставили пресный шашлык , без специй, полу готов , разочаровали.",не спам
"принесли 42 штуки  а должно быть 48 то есть из 6 вкусов в сэте было не по 8 штук а по 7 ролов  нас было 4 человека и поделить поровну не получилось ,жаль что не пришло в голову сформировать как только открыли чтобы доказать этот факт .
Позвонила оператору ,рассказав о такой не приятности а она заявила что вам было всё отправлено верно ,вы в своём уме!? я бы вам звонить не стала даже унижаться так.
Больше не закажу у вас так как вы  не поняли даже проблемы ,мне перед гостями было стыдно что такие  люди работают в нашем городе .",не спам
"Извините меня ,но это кошмар.Ладно Филадельфию не ту сделали ,но остальные позиции заказа это ужас ,гунканы буквально растекаются ,какая-то требуха,а не мидии .А ролл в подарок это вообще произведение искусства, вообще не тот который должен быть ,заветренный ,не известно где они его взяли .Дай бог завтра проснуться после такой еды",не спам
"Ждали 4 часа и ролы были сухие, рис и огурцы, даже икру уже не добавляют, испортились, стали экономить, больше не будем заказывать. Когда привлекали были большие, сочные, вкусные, а сейчас цены подняли, а толку!",не спам
Задержали доставку на 20 минут. Администратор хамка. Не рекомендую данное заведение. Рыбу на роллах сожгли лимоном. Да и сами роллы совсем не вкусные. Еще раз не рекомендую,не спам
"заказ не был доставлен, что за бред?",не спам
"При заказе указал ,,Привезти к 22.00""
в 21:38 звонок: Доставка заказа. Я не находился дома и не смог выйти к курьеру. Курьер уехал на другой заказ. Я об этом звоню и спрашиваю у службы поддержки , что за херню исполняют. Итог: Суши привезли на пол часа раньше чем нужно, а потом и позже назначенного времени, еда была чуть тёплой.",не спам
"Заказ приехал спустя три часа, заместо указанных полутора. Звонили напрямую в ресторан, оператор не умеет общаться, не вежлива с клиентом и перекладывает свои ошибки на других. Качество в этот раз, ужасное. В боксы предназначенные для единичных роллов, каким-то образом положили несколько, взять было очень трудно и естественно всё разваливалось. Ролл который заявленно идёт на 6 кусков разрезали на 10, Начинки мало, ещё и блюдо за баллы вообще не положили.",не спам
За баллы ничего не положили. Привезли позже намеченного срока. За 2 сета за 2600 положили небольшие кучки васаби и имбиря.,не спам
"Брал доп к пицце сырный борт, в итоге место под сыр есть, а сыра нет, дырявый борт. картошка пересоленая и вся черная.",не спам
ужас. доставили не тот заказ!!! мой заказ дороже зато вышел 😤😤 не буду больше тут брать.,не спам
"Почти час не было подтверждения заказа , на телефон ресторан не отвечал, отмену заказа так же не делал.  Перепутали пиццу за баллы , заказывали ветчина - грибы, привезли пепперони, хотя в чеке все верно. Сам сет максимально не соответствует тому , что на фото. Питта с курицей очень сухая и не вкусная. Жаль потраченных денег и времени.",не спам
"В заказе были изменены блюда, не предупредив нас",не спам
"ждали 2,5 часа, заказ так и не привезли,на звонок ответили ,что сами отменили заказ,вечер испорчен.Отвратительный ресторан,заказывать там никогда больше не будем!",не спам
"Соуса Унаги пожалели, на некоторые роллы не попало даже. Роллы за баллы не привезли. Вкус роллов на 3-. По цене не дорого, но стоит ли довольствоваться  плохим качеством, лучше заплатить больше.",не спам
не положили соус и васаби,не спам
"Доставка позднее указанного времени, пицца остывшая, завышена цена, вкус не впечатлил, не рекомендую!",не спам
